"Niger"	"Nigerien(or)"
"Nigeria"	"Nigerian"
"Niue"	"Niuean"
"Norfolk Island"	"Norfolk Islander"
"North Korea"	"Korean"
"North Korea"	"North Korean"
"Northern Cyprus"	"Turkish Cypriot"
"Northern Mariana Islands"	"Chamorro (colloquial)"
"Northern Mariana Islands"	"Mariana Islander (formal)"
"Norway"	"Norwegian"
"Norway"	"(InNorwegian: Nordmann)"
"Oman"	"Omani"
"Overseas departments and territories of France"	"French"
"Pakistan"	"Pakistani"
"Palau"	"Palauan"
"Palestinian territories"	"Palestinians"
"Palestinian territories"	"Israeli/Jewish settlers"
"Panama"	"Panamanian"
"Papua New Guinea"	"Papua New Guinean"
"Paraguay"	"Paraguayan"
"Paraguayan architecture"	"Paraguayan"
"Peru"	"Peruvian"
"Philippines"	"Philippine (English)"
"Philippines"	"Pinoy (colloquial masculine)Pinay (colloquial feminine)"
"Philippines"	"Filipino (masculine)Filipina (feminine)"
"Pitcairn Islands"	"Pitcairn Islander"
"Poland"	"Polish"
"Poland"	"Polak"
"Poland"	"Pole"
"Portugal"	"Portuguese"
"Posavina Canton"	"Posavinian"
"Principality of Freedonia"	"Freedonian"
"Principality of Hutt River"	"Hutt Riverian"
"Principality of Outer Baldonia"	"Baldonian"
"Principality of Sealand"	"Sealander, Sealandic"
"Principality of Seborga"	"Seborgan"
"Principality of Wales"	"Welsh, Cymreig"
"Principality of Wy"	"Wyze"
"Prussia"	"Prussian"
"Puerto Rico"	"Boricua(colloquial)"
"Puerto Rico"	"Puerto Rican(formal)"
"Puntland"	"Puntlander"
"Qatar"	"Qatari"
"Republic of Ireland"	"Irish"
"Republic of Macedonia"	"Macedonian"
"Republic of Vevčani"	"Vevčanese"
"Republic of the Congo"	"Congolese"
"Riva (Belgariad and Malloreon)"	"Rivan"
"Romania"	"Romanian"
"Rotuma"	"Rotuman"
"Russia"	"Russian"
"Rwanda"	"Rwandan"
"Rwanda"	"Rwandese"
"Sahrawi Arab Democratic Republic"	"Sahrawi"
"Sahrawi Arab Democratic Republic"	"Western Saharan"
"Saint Barthélemy"	"Barthélemois(es)"
"Saint Helena"	"Sainta"
"Saint Kitts and Nevis"	"Kittitian or Nevisian"
"Saint Lucia"	"Saint Lucian"
"Saint Pierre and Miquelon"	"Miquelonnais"
"Saint Pierre and Miquelon"	"Saint-Pierrais"
"Saint Vincent and the Grenadines"	"Vincentian, Vincy"
"Samoa"	"Samoan"
"San Marino"	"Sammarinese"
"Saudi Arabia"	"Saudi"
"Saudi Arabia"	"Saudi Arabian"
"Savoy"	"Savoyard (in widespread use nowadays), Savoisian (name before annexation), Savoyan(historic; today uncommon)"
"Scotland"	"Scottish"
"Scotland"	"Scot"
"Senegal"	"Senegalese"
"Serbia"	"Serbian"
"Seychelles"	"Seselwa"
"Seychelles"	"Seychellois"
"Seychelles"	"Seychelloise"
"Sierra Leone"	"Sierra Leonean"
"Singapore"	"Singaporean"
"Sint Maarten"	"St. Maartener"
"Slovakia"	"Slovak"
"Slovenia"	"Slovene"
"Solomon Islands"	"Solomon Islander"
"Somalia"	"Somali"
"Somalia"	"Somalian"
"Somaliland"	"Somali"
"Somaliland"	"Somalian"
"Somaliland"	"Somali;"
"South Africa"	"South African"
"South Asian Association for Regional Cooperation"	"South Asian"
"South Georgia and the South Sandwich Islands"	"South Georgian"
"South Georgia and the South Sandwich Islands"	"South Sandwich Islander"
"South Korea"	"Korean"
"South Korea"	"South Korean"
"South Sudan"	"South Sudanese"
"Soviet Union"	"Soviet"
"Spain"	"Spanish"
"Spain"	"Spaniard"
"Special administrative regions of China"	"Chinese"
"Sri Lanka"	"Sri Lankan"
"Subanon people"	"Subanen"
"Sudan"	"Sudanese"
"Suriname"	"Surinamese"
"Swaziland"	"Swazi"
"Sweden"	"Swedish"
"Sweden"	"Swede"
"Switzerland"	"Swiss"
"Syria"	"Syrian"
"São Tomé and Príncipe"	"Santomean"
"São Tomé and Príncipe"	"São Toméan"
"Taiwan"	"Taiwanese"
"Tajikistan"	"Tajikistani"
"Talossa"	"Talossan"
"Tanzania"	"Tanzanian"
"Tepic Territory"	"Tepicense"
"Territories of the United States"	"American"
"Thailand"	"Thai"
"Thailand"	"Siamese(archaic)"
"The Bahamas"	"Bahamian"
"The Gambia"	"Gambian"
"Togo"	"Togolese"
"Tokelau"	"Tokelauan"
"Tonga"	"Tongan"
"Torres Strait Islands"	"Torres Strait Islander"
"Torres Strait Regional Authority"	"Torres Strait Islander"
"Tristan da Cunha"	"Tristanian"
"Tunisia"	"Tunisian"
"Turkey"	"Turkish"
"Turkmenistan"	"Turkmen"
"Turks and Caicos Islands"	"Turks and Caicos Islander"
"Tuvalu"	"Tuvaluan"
"Ukraine"	"Ukrainian"
"Una-Sana Canton"	"Una-Sanian"
"United Arab Emirates"	"Emirati"
"United Arab Emirates"	"Emiri"
"United Arab Emirates"	"Emirian"
"United Kingdom"	"British"
"United Kingdom"	"Briton"
"United Kingdom of Great Britain and Ireland"	"British"
"United States of America"	"American"
"United States Minor Outlying Islands"	"American"
"United States Minor Outlying Islands"	"Islander"
"United States Virgin Islands"	"Virgin Islander"
"Uruguay"	"Uruguayan"
"Uzbekistan"	"Uzbek"
"Vanuatu"	"Ni-Vanuatu"
"Venezuela"	"Venezuelan"
"Vietnam"	"Vietnamese"
"Wallis (island)"	"Wallisian"
"Wallis and Futuna"	"Futunan"
"Wallis and Futuna"	"Wallisian"
"West Herzegovina Canton"	"West Herzegovinian"
"West Indies Federation"	"West Indian"
"Wirtland (micronation)"	"Wirtlander; Witizen"
"Yemen"	"Yemeni"
"Zambia"	"Zambian"
"Zanzibar"	"Zanzibari"
"Zimbabwe"	"Zimbabwean"
"Åland Islands"	"Ålandish"
"Åland Islands"	"Ålandic"
